"","X_0001","X_0002","X_0003","X_0004","X_0005","X_0006","X_0011","X_0013","X_0014","X_0015","X_0016","X_0018","X_0019","X_0021","X_0022","X_0024","X_0026","X_0030","X_0031","X_0032","X_0033","X_0036","X_0037","X_0038","X_0039","X_0040","X_0044","X_0047","X_0048","X_0049","X_0050","X_0054","X_0067","X_0069","X_0075","X_0076","X_0083","X_0084","X_0086","X_0087","X_0089","X_0090","X_0098","X_0100","X_0102","X_0107","X_0109","X_0111","X_0117","X_0118","X_0128","X_0130","X_0141","X_0143","X_0147","X_0164","X_0166","X_0171","X_0173","X_0179","X_0181","X_0185","X_0191","X_0198","X_0222","X_0232","X_0241","X_0243","X_0252","X_0254","X_0275","X_0291","X_0309","X_0361","X_0399"
"S_05897",17057,1448,0,0,10515,0,842,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05993",21285,11013,0,0,14762,0,1398,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,180,244,0,0,0,0,0,0,95,0,64,0,0,0,0,0,0,0,0,0,0,0
"S_06089",18701,8452,43,0,4321,0,1193,0,0,0,0,0,0,0,207,458,0,0,0,0,0,0,0,0,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,86,0,0,0,0,0,0,0,700,164,0,0,0,0,0,0,890,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06185",12086,5594,0,0,2439,0,618,0,0,0,0,0,0,0,73,311,0,0,0,0,0,0,0,0,415,0,0,0,0,0,0,0,93,0,0,0,0,0,0,254,0,0,0,0,0,99,0,0,0,0,0,0,0,353,52,0,0,0,0,0,0,488,0,67,0,0,0,0,0,0,0,0,0,0,0
"S_06281",13652,4529,33,0,5038,164,1808,0,0,0,0,0,0,0,205,279,0,0,0,0,0,0,0,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,600,107,0,0,0,0,0,0,937,0,82,0,0,0,0,0,0,0,0,0,0,0
"S_06377",18262,5731,0,0,4329,0,1524,0,0,0,0,0,0,0,1680,299,0,0,0,0,0,0,0,0,669,0,0,0,0,0,0,0,107,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,684,93,0,0,0,0,0,0,313,0,135,0,0,0,0,0,0,0,0,0,0,0
"S_06473",13777,2164,0,0,6492,0,1911,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,201,45,0,0,0,0,0,0,65,0,58,0,0,0,0,0,0,0,0,0,0,0
"S_06569",12019,290,0,0,4502,0,2958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06665",74085,19840,0,0,24360,0,8567,0,0,0,0,0,0,0,474,698,0,0,0,0,0,0,0,0,2483,0,0,0,0,0,0,0,335,0,0,0,0,0,0,3153,0,0,0,0,0,0,0,0,0,0,0,0,0,3014,391,0,0,0,0,0,0,1311,0,1005,0,0,0,0,0,0,0,0,0,0,0
"S_06761",23230,956,0,0,6940,0,5865,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,153,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_06857",19593,2396,0,0,7530,0,3558,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,124,105,0,0,0,0,0,0,43,0,62,0,0,0,0,0,0,0,0,0,0,0
"S_06953",34471,5132,0,0,5644,0,2285,0,0,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,105,0,0,0,0,0,0,904,0,0,0,0,0,0,0,0,0,0,0,0,0,554,56,0,0,0,0,0,0,140,0,112,0,0,0,0,0,0,0,0,0,0,0
"S_07049",21736,1617,0,0,5895,0,1924,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,412,93,0,0,0,0,0,0,70,0,52,0,0,0,0,0,0,0,0,0,0,0
"S_07145",23238,372,0,0,8864,0,4331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0
"S_07241",21574,708,0,0,7523,0,4794,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,27,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
