"","X_0002","X_0004","X_0007","X_0008","X_0010","X_0015","X_0017","X_0018","X_0019","X_0024","X_0026","X_0032","X_0038","X_0039","X_0040","X_0051","X_0054","X_0074","X_0076","X_0101","X_0143","X_0179","X_0181","X_0190","X_0198","X_0265","X_0312","X_0355"
"S_01706",6794,0,0,0,0,0,0,0,0,783,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
"S_01802",9359,0,0,0,0,0,0,0,0,899,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0
"S_01898",9383,0,0,0,0,0,0,0,0,1908,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0
"S_01994",11875,0,0,0,0,0,0,0,0,1506,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0
"S_02090",7932,0,0,0,0,0,0,0,0,1963,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0
"S_02186",8019,0,0,0,0,0,0,0,0,3685,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0
"S_02282",8801,0,0,0,0,0,0,0,0,2762,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0
"S_02378",9583,0,0,0,0,0,0,0,0,1839,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0
"S_02474",10278,0,0,0,0,0,0,0,0,2048,0,0,0,21,0,0,0,0,0,0,0,0,66,0,0,0,0,0
"S_02570",7924,0,0,0,0,0,0,0,0,3237,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
"S_02666",7907,0,0,0,0,0,0,0,0,1775,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"S_02762",8224,0,0,0,0,0,0,0,0,1572,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
"S_02858",9678,0,0,0,0,0,0,0,0,1640,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0
"S_02954",7130,0,0,0,0,0,0,0,0,1080,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0
"S_03050",6374,0,0,0,0,0,0,0,0,1578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03146",7722,0,0,0,0,0,0,0,0,3116,0,0,0,0,0,0,0,0,0,0,81,0,141,0,0,0,0,0
"S_03242",6441,0,0,0,0,0,0,0,0,4495,0,0,0,0,0,0,0,0,0,0,70,0,94,0,0,0,0,0
"S_03338",4913,0,0,0,0,0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,23,0,37,0,0,0,0,0
"S_03434",5195,0,0,0,0,0,0,0,0,3090,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0
"S_03530",7064,0,0,0,0,0,0,0,0,2688,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0
"S_03626",6149,0,0,0,0,0,0,0,0,1449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03722",8225,0,0,0,0,0,0,0,0,1208,0,0,0,0,0,0,0,0,0,0,79,0,49,0,0,0,0,0
"S_03818",8231,0,0,0,0,0,0,0,0,8141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03914",6933,0,0,0,0,0,0,0,0,4884,0,0,0,0,0,0,0,0,0,0,116,0,99,0,0,0,0,0
"S_04010",6132,0,0,0,0,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
"S_04106",7586,0,0,0,0,0,0,0,0,1331,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
"S_04202",5470,0,0,0,0,0,0,0,0,1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_04298",7703,0,0,0,0,0,0,0,0,3801,0,0,0,0,0,0,0,0,0,0,70,0,60,0,0,0,0,0
"S_04394",6549,0,0,0,0,0,0,0,0,1244,0,0,0,0,0,0,0,0,0,0,51,0,67,0,0,0,0,0
"S_04490",10142,0,0,0,0,0,0,0,0,5154,0,0,0,0,0,0,0,0,0,0,81,0,127,0,0,0,0,0
"S_04586",5048,0,0,0,0,0,0,0,0,5525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_04682",4886,0,0,0,0,0,0,0,0,3623,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0
"S_04778",5177,0,0,0,0,0,0,0,0,3540.5,0,0,0,0,0,0,0,0,0,0,0,0,98.5,0,0,0,0,0
"S_04874",5468,0,0,0,0,0,0,0,0,3458,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0
